x	y	cluster	words
-52.21532	4.212177	2	binary
11.274432	-13.436514	0	resemblance
30.645384	2.3541694	2	Young
-8.335651	-35.932632	19	Or
41.42294	37.222908	2	comfortless
-15.98504	-50.318584	19	treating
-54.213905	-10.9928	19	officiousness
-29.124405	-37.244167	19	detaining
-8.732535	-49.451942	18	remarkably
-46.514446	-28.928627	2	Gretna
-47.877914	-7.8389597	10	blush
-52.56516	-22.84898	2	breast
18.194752	9.544809	3	forward
-19.241598	-36.904984	19	Surprise
31.735321	35.811222	0	_not_
41.97275	6.5284343	19	seconded
-13.456316	-39.663937	2	starve
-22.079084	43.99773	12	user
-51.29112	-9.484275	19	Read
37.993584	2.9342785	0	encouraged
3.377264	26.466234	12	portion
29.944927	1.8717017	10	concealed
-26.893972	40.37044	12	hair
16.721113	-0.51033175	2	envied
-1.2203714	-15.482471	0	console
-30.53452	-44.511703	7	never
6.421135	15.695806	2	Instead
-50.236595	-24.739933	2	lot
-36.295666	28.628555	10	absent
8.846485	3.9888773	12	pleasanter
7.6259418	-10.712663	10	Who
-0.40180275	-38.508038	12	joining
-14.874307	46.93917	10	respectability
-0.7607024	8.129256	2	stoutly
18.769283	13.668038	10	DIRECT
-37.435883	-41.138397	14	removed
40.38533	15.8621235	2	feverish
32.29315	16.319021	2	pavement
-6.429529	55.17676	12	stretched
11.770662	-20.796196	10	obliging
4.9141283	-34.325256	10	Blenheim
23.37371	19.948305	2	smart
9.380433	-3.4824433	0	contain
-52.68953	4.0830984	12	wonderful
24.476995	8.027694	2	treat
30.001945	37.202465	12	sorrow
-53.39771	-24.944868	19	impute
-10.956598	-38.15318	19	imperturbably
21.276373	28.58612	8	money
-55.58541	-12.124785	19	assemblies
-37.011906	-34.78902	10	convenient
37.1178	-6.208146	12	players
10.878991	-19.21362	0	mutual
6.393399	3.2609103	2	gaining
8.84001	-10.160188	2	enumeration
39.364212	38.31673	2	Nearly
6.040149	-27.26503	11	good
-47.224163	-28.652687	19	packed
-50.553616	-16.527174	12	article
22.057981	23.522345	12	discomposed
